iou,is_span,matched,pred_label,image
0.2842853367328644,False,False,2.0,PMC1087493_table_2
0.1892661601305008,False,False,1.0,PMC1087493_table_2
0.28700074553489685,False,False,3.0,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.19353868067264557,False,False,1.0,PMC1087493_table_2
0.23220933973789215,False,False,2.0,PMC1087493_table_2
0.19246284663677216,False,False,1.0,PMC1087493_table_2
0.1911584734916687,False,False,1.0,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.28041914105415344,False,False,2.0,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.28807517886161804,False,False,2.0,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.03610096871852875,False,False,0.0,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.2835972011089325,False,False,2.0,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.28493213653564453,False,False,2.0,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.28112998604774475,False,False,2.0,PMC1087493_table_2
0.0,False,False,,PMC1087493_table_2
0.19181346893310547,False,False,1.0,PMC1199598_table_2
0.2571229636669159,False,False,2.0,PMC1199598_table_2
0.2960869371891022,False,False,3.0,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.3094566762447357,False,False,2.0,PMC1199598_table_2
0.19578847289085388,False,False,1.0,PMC1199598_table_2
0.1942647099494934,False,False,1.0,PMC1199598_table_2
0.1902810037136078,False,False,1.0,PMC1199598_table_2
0.3111461400985718,False,False,2.0,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.2857311964035034,False,False,2.0,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.2889614701271057,False,False,2.0,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.2888990044593811,False,False,2.0,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.038571227341890335,False,False,0.0,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.3027215301990509,False,False,2.0,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1199598_table_2
0.0,False,False,,PMC1459153_table_2
0.1548016369342804,False,False,2.0,PMC1459153_table_2
0.148948535323143,False,False,1.0,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.10119059681892395,False,False,3.0,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.014923947863280773,False,False,0.0,PMC1459153_table_2
0.1414235383272171,False,False,1.0,PMC1459153_table_2
0.20647287368774414,False,False,1.0,PMC1459153_table_2
0.1008475124835968,False,False,2.0,PMC1459153_table_2
0.2026893049478531,False,False,1.0,PMC1459153_table_2
0.20069846510887146,False,False,1.0,PMC1459153_table_2
0.20426590740680695,False,False,1.0,PMC1459153_table_2
0.19381210207939148,False,False,1.0,PMC1459153_table_2
0.17355877161026,False,False,1.0,PMC1459153_table_2
0.168181374669075,False,False,1.0,PMC1459153_table_2
0.1812368482351303,False,False,1.0,PMC1459153_table_2
0.1680605709552765,False,False,1.0,PMC1459153_table_2
0.1867281198501587,False,False,1.0,PMC1459153_table_2
0.19964078068733215,False,False,1.0,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.10582359880208969,False,False,2.0,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
0.0,False,False,,PMC1459153_table_2
